date,open,high,low,close,volume
2020-01-01 00:00:00+07:00,51111.109375,51111.109375,51111.109375,51111.109375,0
2020-01-02 00:00:00+07:00,51066.66796875,51111.109375,50666.66796875,51111.109375,990630
2020-01-03 00:00:00+07:00,51111.109375,51244.4453125,50800.0,51244.4453125,560115
2020-01-06 00:00:00+07:00,51111.109375,51111.109375,50844.4453125,50888.890625,679297
2020-01-07 00:00:00+07:00,50888.890625,51111.109375,50800.0,50977.77734375,413797
2020-01-08 00:00:00+07:00,50888.890625,50977.77734375,50488.890625,50800.0,1055047
2020-01-09 00:00:00+07:00,50800.0,51155.5546875,50755.5546875,50977.77734375,616207
2020-01-10 00:00:00+07:00,51111.109375,51111.109375,50977.77734375,51022.22265625,358020
2020-01-13 00:00:00+07:00,50977.77734375,51155.5546875,50888.890625,51066.66796875,330030
2020-01-14 00:00:00+07:00,51066.66796875,51155.5546875,50800.0,51111.109375,227587
2020-01-15 00:00:00+07:00,51111.109375,51111.109375,50800.0,51111.109375,462600
2020-01-16 00:00:00+07:00,51111.109375,51155.5546875,50800.0,51111.109375,420165
2020-01-17 00:00:00+07:00,51066.66796875,51155.5546875,50844.4453125,51066.66796875,380475
2020-01-20 00:00:00+07:00,51066.66796875,51066.66796875,50800.0,51066.66796875,834007
2020-01-21 00:00:00+07:00,50800.0,51111.109375,50800.0,51066.66796875,408397
2020-01-22 00:00:00+07:00,51066.66796875,51066.66796875,50755.5546875,51066.66796875,836505
2020-01-23 00:00:00+07:00,51066.66796875,51066.66796875,51066.66796875,51066.66796875,0
2020-01-24 00:00:00+07:00,51066.66796875,51066.66796875,51066.66796875,51066.66796875,0
2020-01-27 00:00:00+07:00,51066.66796875,51066.66796875,51066.66796875,51066.66796875,0
2020-01-28 00:00:00+07:00,51066.66796875,51066.66796875,51066.66796875,51066.66796875,0
2020-01-29 00:00:00+07:00,51066.66796875,51066.66796875,51066.66796875,51066.66796875,0
2020-01-30 00:00:00+07:00,50711.109375,51066.66796875,49822.22265625,51066.66796875,1536120
2020-01-31 00:00:00+07:00,51066.66796875,51066.66796875,50488.890625,51022.22265625,1871415
2020-02-03 00:00:00+07:00,50577.77734375,51022.22265625,49911.109375,51022.22265625,1710945
2020-02-04 00:00:00+07:00,50488.890625,51022.22265625,49688.890625,51022.22265625,3342375
2020-02-05 00:00:00+07:00,51022.22265625,51022.22265625,50222.22265625,50888.890625,1053945
2020-02-06 00:00:00+07:00,50888.890625,50977.77734375,50133.33203125,50844.4453125,1521652
2020-02-07 00:00:00+07:00,50666.66796875,50844.4453125,49777.77734375,50844.4453125,2914920
2020-02-10 00:00:00+07:00,50222.22265625,50711.109375,50222.22265625,50533.33203125,433575
2020-02-11 00:00:00+07:00,50444.4453125,50755.5546875,50222.22265625,50400.0,653917
2020-02-12 00:00:00+07:00,50400.0,50400.0,49777.77734375,49777.77734375,1018777
2020-02-13 00:00:00+07:00,49555.5546875,50088.890625,49511.109375,49955.5546875,642015
2020-02-14 00:00:00+07:00,49911.109375,50044.4453125,48888.890625,48888.890625,567877
2020-02-17 00:00:00+07:00,48888.890625,48888.890625,46666.66796875,48000.0,1669995
2020-02-18 00:00:00+07:00,47555.5546875,47555.5546875,46222.22265625,46444.4453125,1781707
2020-02-19 00:00:00+07:00,46000.0,47555.5546875,46000.0,46666.66796875,1969470
2020-02-20 00:00:00+07:00,47111.109375,48888.890625,46666.66796875,48888.890625,795532
2020-02-21 00:00:00+07:00,48266.66796875,48888.890625,47911.109375,48844.4453125,695385
2020-02-24 00:00:00+07:00,47600.0,48000.0,46888.890625,47688.890625,3214462
2020-02-25 00:00:00+07:00,47422.22265625,47688.890625,47066.66796875,47555.5546875,1223595
